txn_ID,Portfolio_Name,Strategy_ID,Date,Trans. Type,Share Name,NSE Code,Quantity,Price,Brokerage,Amount,Bal. Qty.,Broker Name,Buy Rate,Sell Rate,Buy Value,Sell Value,Dividend Payout
17,Portfolio2,10,02-02-2018,Buy,Prakash Industries,PRAKASH,250,194.724,0,48681,4800,Kotak,194.724,0,48681,0,0
18,Portfolio2,10,06-02-2018,Buy,Prakash Industries,PRAKASH,2250,187.9093,0,422796,7050,Kotak,187.9093,0,422796,0,0
19,Portfolio2,2,09-02-2018,Buy,Indo Count,ICIL,3000,104.08,0,312240,3000,Kotak,104.08,0,312240,0,0
20,Portfolio2,2,21-02-2018,Buy,Godawari Power & Ispat,GPIL,1000,444.63,0,444630,1000,Kotak,444.63,0,444630,0,0
21,Portfolio2,10,21-02-2018,Buy,Godawari Power & Ispat,GPIL,1000,460,0,460000,12050,Kotak,460,0,460000,0,0
22,Portfolio2,10,07-03-2018,Buy,Jain Irrigation Systems Ltd-DVR,JISLDVREQS,4500,113,0,508500,4500,Kotak,113,0,508500,0,0
23,Portfolio2,6,20-04-2018,Buy,Cupid Limited,CUPID,1000,288,0,288000,1000,Kotak,288,0,288000,0,0
24,Portfolio2,2,20-04-2018,Buy,TATAMOTORS-DVR-A-ORDY,TATAMTRDVR,1500,208,0,312000,1500,Kotak,208,0,312000,0,0
25,Portfolio2,2,31-05-2018,Buy,HDFC Bank,HDFCBANK,250,1045.5,0,261375,250,Kotak,1045.5,0,261375,0,0
26,FakePortfolio,1,01-06-2018,Buy,Bajaj Finance,BAJFINANCE,297,2077.58,0,617041.26,297,Kotak,2077.58,0,617041.26,0,0
27,FakePortfolio,1,01-06-2018,Buy,Whirlpool of India,WHIRLPOOL,178,1550.59,0,276005.02,178,Kotak,1550.59,0,276005.02,0,0
28,FakePortfolio,1,04-06-2018,Buy,Whirlpool of India,WHIRLPOOL,386,1550.59,0,598527.74,564,Kotak,1550.59,0,598527.74,0,0
29,Portfolio2,2,05-06-2018,Buy,Uflex Limited,UFLEX,693,288.05,0,199618.65,1943,Kotak,288.05,0,199618.65,0,0
30,FakePortfolio,1,05-06-2018,Buy,Avenue Supermarts,DMART,344,1477.42,0,508232.48,344,Kotak,1477.42,0,508232.48,0,0
31,FakePortfolio,1,05-06-2018,Buy,Bajaj Finance,BAJFINANCE,297,2088.78,0,620367.66,594,Kotak,2088.78,0,620367.66,0,0
32,FakePortfolio,1,05-06-2018,Buy,Ujjivan Financial Services,UJJIVAN,2000,377.88,0,755760,2000,Kotak,377.88,0,755760,0,0
33,Portfolio2,2,08-06-2018,Buy,Jindal Saw,JINDALSAW,1000,96.1,0,96100,4500,Kotak,96.1,0,96100,0,0
34,FakePortfolio,10,08-06-2018,Buy,Prakash Industries,PRAKASH,6000,137.75,0,826499,6000,Kotak,137.75,0,826499,0,0
35,FakePortfolio,2,11-06-2018,Buy,Godawari Power & Ispat,GPIL,500,431.12,0,215560,500,Kotak,431.12,0,215560,0,0
36,Portfolio2,2,19-06-2018,Buy,Jindal Saw,JINDALSAW,750,90.6,0,67950,5250,Kotak,90.6,0,67950,0,0
37,FakePortfolio,1,19-06-2018,Dividend Payout,Ujjivan Financial Services,UJJIVAN,0,0,0,1000,2000,,0,0,0,0,1000
38,FakePortfolio,3,26-06-2018,Buy,Maruti Suzuki,MARUTI,100,8845.14,0,884514,100,Kotak,8845.14,0,884514,0,0
39,Portfolio2,2,28-06-2018,Buy,Jindal Saw,JINDALSAW,6900,81.82,0,564568.39,12150,Kotak,81.82,0,564568.39,0,0
40,Portfolio2,2,29-06-2018,Buy,TATAMOTORS-DVR-A-ORDY,TATAMTRDVR,1880,159.15,0,299202,3380,Kotak,159.15,0,299202,0,0
41,FakePortfolio,1,05-07-2018,Dividend Payout,Bajaj Finance,BAJFINANCE,0,0,0,2376,594,,0,0,0,0,2376
42,Portfolio2,6,12-07-2018,Bonus,General Insurance Corporation of India,GICRE,64,0,0,0,128,,0,0,0,0,0
43,Portfolio2,6,12-07-2018,Dividend Payout,General Insurance Corporation of India,GICRE,0,0,0,1728,128,,0,0,0,0,1728
44,Portfolio4,6,12-07-2018,Bonus,General Insurance Corporation of India,GICRE,64,0,0,0,128,,0,0,0,0,0
45,Portfolio4,6,12-07-2018,Dividend Payout,General Insurance Corporation of India,GICRE,0,0,0,1728,128,,0,0,0,0,1728
46,Portfolio6,6,12-07-2018,Bonus,General Insurance Corporation of India,GICRE,16,0,0,0,32,,0,0,0,0,0
47,Portfolio6,6,12-07-2018,Dividend Payout,General Insurance Corporation of India,GICRE,0,0,0,432,32,,0,0,0,0,432
48,Portfolio10,6,12-07-2018,Bonus,General Insurance Corporation of India,GICRE,16,0,0,0,32,,0,0,0,0,0
49,Portfolio10,6,12-07-2018,Dividend Payout,General Insurance Corporation of India,GICRE,0,0,0,432,32,,0,0,0,0,432
50,Portfolio11,6,12-07-2018,Bonus,General Insurance Corporation of India,GICRE,96,0,0,0,192,,0,0,0,0,0
51,Portfolio11,6,12-07-2018,Dividend Payout,General Insurance Corporation of India,GICRE,0,0,0,2592,192,,0,0,0,0,2592
52,Portfolio9,2,17-07-2018,Dividend Payout,Dixon Technologies (India),DIXON,0,0,0,16,8,,0,0,0,0,16
53,Portfolio2,2,18-07-2018,Buy,Uflex Limited,UFLEX,1532,259.97,0,398274.04,3475,Kotak,259.97,0,398274.04,0,0
54,Portfolio2,2,19-07-2018,Buy,Uflex Limited,UFLEX,800,251.3862,0,201108.96,4275,Kotak,251.3862,0,201108.96,0,0
55,Portfolio2,2,24-07-2018,Dividend Payout,Uflex Limited,UFLEX,0,0,0,8550,4275,,0,0,0,0,8550
56,Portfolio2,10,25-07-2018,Buy,Prakash Industries,PRAKASH,4000,124.4075,0,497630,11050,Kotak,124.4075,0,497630,0,0
57,Portfolio2,2,26-07-2018,Dividend Payout,RBL Bank,RBLBANK,0,0,0,2100,1000,,0,0,0,0,2100
58,FakePortfolio,3,26-07-2018,Buy,Maruti Suzuki,MARUTI,50,9438.9,0,471945,150,Kotak,9438.9,0,471945,0,0
59,FakePortfolio,3,27-07-2018,Buy,Maruti Suzuki,MARUTI,50,9366.71,0,468335.5,200,Kotak,9366.71,0,468335.5,0,0
60,Portfolio2,6,01-08-2018,Sell,Cupid Limited,CUPID,1000,240.64,0,240640,0,Kotak,0,240.64,0,240640,0
61,Portfolio2,2,01-08-2018,Buy,TATAMOTORS-DVR-A-ORDY,TATAMTRDVR,1500,142.0151,0,213022.65,4880,Kotak,142.0151,0,213022.65,0,0
62,FakePortfolio,10,09-08-2018,Buy,Prakash Industries,PRAKASH,2500,150.2788,0,375697,8500,Kotak,150.2788,0,375697,0,0
63,FakePortfolio,2,09-08-2018,Buy,Jindal Saw,JINDALSAW,4500,82.19,0,369855,4500,Kotak,82.19,0,369855,0,0
64,FakePortfolio,10,10-08-2018,Buy,Prakash Industries,PRAKASH,2500,146.3824,0,365956,11000,Kotak,146.3824,0,365956,0,0
65,FakePortfolio,10,13-08-2018,Buy,Prakash Industries,PRAKASH,1600,138.595,0,221752,12600,Kotak,138.595,0,221752,0,0
66,FakePortfolio,10,14-08-2018,Buy,Prakash Industries,PRAKASH,1400,136.6226,0,191271.6,14000,Kotak,136.6226,0,191271.6,0,0
67,FakePortfolio,3,14-08-2018,Dividend Payout,Maruti Suzuki,MARUTI,0,0,0,16000,200,,0,0,0,0,16000
68,Portfolio6,10,17-08-2018,Sell,Godawari Power & Ispat,GPIL,1100,455.49,0,501039,0,IDBI Capital,0,455.49,0,501039,0
69,Portfolio9,10,17-08-2018,Sell,Godawari Power & Ispat,GPIL,1100,222.666,0,244932.6,0,IDBI Capital,0,222.666,0,244932.6,0
70,Portfolio10,10,17-08-2018,Sell,Godawari Power & Ispat,GPIL,1100,459,0,504900,0,IDBI Capital,0,459,0,504900,0
71,Portfolio4,10,20-08-2018,Sell,Godawari Power & Ispat,GPIL,1330,470,0,625100,0,Anand Rathi,0,470,0,625100,0
72,Portfolio4,10,23-08-2018,Dividend Payout,Sarda Energy,SARDAEN,0,0,0,13500,2700,,0,0,0,0,13500
73,FakePortfolio,10,23-08-2018,Buy,Prakash Industries,PRAKASH,2000,132.3935,0,264787,16000,Kotak,132.3935,0,264787,0,0
74,FakePortfolio,2,23-08-2018,Buy,Jindal Saw,JINDALSAW,3000,81.04,0,243120,7500,Kotak,81.04,0,243120,0,0
75,FakePortfolio,2,23-08-2018,Buy,TATAMOTORS-DVR-A-ORDY,TATAMTRDVR,200,140.3252,0,28065.03,200,Kotak,140.3252,0,28065.03,0,0
76,Portfolio5,10,23-08-2018,Dividend Payout,Sarda Energy,SARDAEN,0,0,0,17555,3511,,0,0,0,0,17555
77,Portfolio6,10,23-08-2018,Dividend Payout,Sarda Energy,SARDAEN,0,0,0,5500,1100,,0,0,0,0,5500
78,Portfolio10,10,23-08-2018,Dividend Payout,Sarda Energy,SARDAEN,0,0,0,5500,1100,,0,0,0,0,5500
79,Portfolio2,10,24-08-2018,Sell,Godawari Power & Ispat,GPIL,1000,512.92,0,512920,0,Kotak,0,512.92,0,512920,0
80,FakePortfolio,2,24-08-2018,Buy,TATAMOTORS-DVR-A-ORDY,TATAMTRDVR,1800,139.7242,0,251503.52,2000,Kotak,139.7242,0,251503.52,0,0
81,Portfolio7,10,24-08-2018,Sell,Godawari Power & Ispat,GPIL,1000,522.95,0,522950,4000,IDBI Capital,0,522.95,0,522950,0
82,Portfolio2,2,30-08-2018,Dividend Payout,Indo Count,ICIL,0,0,0,1200,3000,,0,0,0,0,1200
83,Portfolio2,2,06-09-2018,Buy,PNC Infratech,PNCINFRA,3555,153,0,543915,3555,Kotak,153,0,543915,0,0
84,Portfolio2,7,06-09-2018,Buy,National Aluminium,NATIONALUM,4300,70.15,0,301656.18,4300,Kotak,70.15,0,301656.18,0,0
85,FakePortfolio,1,06-09-2018,Dividend Payout,Whirlpool of India,WHIRLPOOL,0,0,0,2256,564,,0,0,0,0,2256
86,FakePortfolio,7,06-09-2018,Buy,National Aluminium,NATIONALUM,98000,71.11,0,6968852.4,98000,,71.11,0,6968852.4,0,0
87,Portfolio8,7,06-09-2018,Buy,National Aluminium,NATIONALUM,43393,61.09,0,2650878.37,43393,MOTILAL,61.09,0,2650878.37,0,0
88,FakePortfolio,2,07-09-2018,Buy,IIFL Finance,IIFL,1500,502.905,0,754357.55,1500,Kotak,502.905,0,754357.55,0,0
89,Portfolio2,10,12-09-2018,Dividend Payout,Jain Irrigation Systems Ltd-DVR,JISLDVREQS,0,0,0,4500,4500,,0,0,0,0,4500
90,Portfolio2,2,18-09-2018,Dividend Payout,Jindal Saw,JINDALSAW,0,0,0,14580,12150,,0,0,0,0,14580
91,FakePortfolio,2,18-09-2018,Dividend Payout,Jindal Saw,JINDALSAW,0,0,0,9000,7500,,0,0,0,0,9000
92,Portfolio2,2,19-09-2018,Dividend Payout,PNC Infratech,PNCINFRA,0,0,0,1777.5,3555,,0,0,0,0,1777.5
93,FakePortfolio,2,19-09-2018,Buy,IIFL Finance,IIFL,1200,438.8701,0,526644.12,2700,Kotak,438.8701,0,526644.12,0,0
94,FakePortfolio,3,19-09-2018,Buy,Maruti Suzuki,MARUTI,150,8319.26,0,1247889,350,Kotak,8319.26,0,1247889,0,0
95,FakePortfolio,3,21-09-2018,Buy,Maruti Suzuki,MARUTI,100,8018.56,0,801856,450,Kotak,8018.56,0,801856,0,0
96,FakePortfolio,1,24-09-2018,Buy,Avenue Supermarts,DMART,160,1473.41,0,235745.6,504,Kotak,1473.41,0,235745.6,0,0
97,FakePortfolio,1,24-09-2018,Buy,Bajaj Finance,BAJFINANCE,300,2255.22,0,676566,894,Kotak,2255.22,0,676566,0,0
98,FakePortfolio,10,24-09-2018,Buy,Prakash Industries,PRAKASH,3000,131.7507,0,395252,19000,Kotak,131.7507,0,395252,0,0
99,FakePortfolio,2,24-09-2018,Buy,Balkrishna Industries,BALKRISIND,1300,1090.14,0,1417182,1300,Kotak,1090.14,0,1417182,0,0
100,FakePortfolio,2,24-09-2018,Buy,IIFL Finance,IIFL,700,410.0935,0,287065.45,3400,Kotak,410.0935,0,287065.45,0,0
101,FakePortfolio,3,24-09-2018,Buy,Maruti Suzuki,MARUTI,100,7727.18,0,772718,550,Kotak,7727.18,0,772718,0,0
102,FakePortfolio,3,24-09-2018,Buy,Whirlpool of India,WHIRLPOOL,300,1502.48,0,450744,300,Kotak,1502.48,0,450744,0,0
103,Portfolio2,2,25-09-2018,Buy,NMDC Limited,NMDC,100000,113.1461,0,11314612.2,100000,Kotak,113.1461,0,11314612.2,0,0
104,FakePortfolio,2,27-09-2018,Buy,IIFL Finance,IIFL,500,378.4422,0,189221.09,3900,Kotak,378.4422,0,189221.09,0,0
105,Portfolio2,2,28-09-2018,Sell,NMDC Limited,NMDC,100000,116.392,0,11639199.2,0,Kotak,0,116.392,0,11639199.2,0
106,Portfolio8,7,28-09-2018,Buy,National Aluminium,NATIONALUM,6607,61.086,0,403595.2,50000,MOTILAL,61.086,0,403595.2,0,0
107,Portfolio8,2,01-10-2018,Buy,Jindal Saw,JINDALSAW,3065,71.66,0,219637.9,3065,MOTILAL,71.66,0,219637.9,0,0
108,Portfolio8,2,01-10-2018,Buy,TATAMOTORS-DVR-A-ORDY,TATAMTRDVR,4000,121.14,0,484560,4000,MOTILAL,121.14,0,484560,0,0
109,Portfolio8,2,03-10-2018,Buy,IIFL Finance,IIFL,1500,358.28,0,537421.35,1500,MOTILAL,358.28,0,537421.35,0,0
110,Portfolio8,1,03-10-2018,Buy,Maruti Suzuki,MARUTI,50,7311.91,0,365595.5,50,MOTILAL,7311.91,0,365595.5,0,0
111,Portfolio8,2,04-10-2018,Buy,Jindal Saw,JINDALSAW,5000,72.67,0,363350,8065,MOTILAL,72.67,0,363350,0,0
112,Portfolio8,2,04-10-2018,Buy,Piramal Enterprises,PEL,200,2255.22,0,451044,200,MOTILAL,2255.22,0,451044,0,0
113,Portfolio8,2,05-10-2018,Buy,Jindal Saw,JINDALSAW,5000,71.16,0,355800,13065,MOTILAL,71.16,0,355800,0,0
114,Portfolio8,2,05-10-2018,Buy,Prakash Industries,PRAKASH,10000,108.8121,0,1088121,10000,MOTILAL,108.8121,0,1088121,0,0
115,Portfolio8,1,05-10-2018,Buy,Maruti Suzuki,MARUTI,100,7016.23,0,701623,150,MOTILAL,7016.23,0,701623,0,0
116,Portfolio8,2,08-10-2018,Buy,IIFL Finance,IIFL,1500,287.7876,0,431681.33,3000,MOTILAL,287.7876,0,431681.33,0,0
117,Portfolio8,7,08-10-2018,Buy,National Aluminium,NATIONALUM,50000,60.56,0,3028035.8,100000,MOTILAL,60.56,0,3028035.8,0,0
118,Portfolio8,2,09-10-2018,Buy,TATAMOTORS-DVR-A-ORDY,TATAMTRDVR,10000,100.66,0,1006600,14000,MOTILAL,100.66,0,1006600,0,0
119,Portfolio8,2,19-10-2018,Buy,IIFL Finance,IIFL,3000,275.5562,0,826668.73,6000,MOTILAL,275.5562,0,826668.73,0,0
120,Portfolio8,2,19-10-2018,Buy,Prakash Industries,PRAKASH,4946,104.421,0,516466.5,14946,MOTILAL,104.421,0,516466.5,0,0
121,Portfolio8,2,22-10-2018,Buy,Prakash Industries,PRAKASH,2500,102.474,0,256185,17446,MOTILAL,102.474,0,256185,0,0
122,FakePortfolio,7,23-10-2018,Buy,Ugro Capital,UGROCAP,1065,187.421,0,199603.37,1065,,187.421,0,199603.37,0,0
123,Portfolio8,2,23-10-2018,Buy,RBL Bank,RBLBANK,1070,466.09,0,498716.3,1070,MOTILAL,466.09,0,498716.3,0,0
124,FakePortfolio,7,24-10-2018,Buy,Ugro Capital,UGROCAP,1075,184.3154,0,198139.06,2140,,184.3154,0,198139.06,0,0
125,FakePortfolio,7,25-10-2018,Buy,Ugro Capital,UGROCAP,1125,176.614,0,198690.75,3265,,176.614,0,198690.75,0,0
126,FakePortfolio,2,14-11-2018,Dividend Payout,Balkrishna Industries,BALKRISIND,0,0,0,2600,1300,,0,0,0,0,2600
127,Portfolio8,7,14-11-2018,Buy,National Aluminium,NATIONALUM,30000,66.5,0,1995000,130000,MOTILAL,66.5,0,1995000,0,0
128,FakePortfolio,7,26-11-2018,Buy,Ugro Capital,UGROCAP,1000,195.681,0,195681,4265,,195.681,0,195681,0,0
129,Portfolio8,7,26-11-2018,Buy,Ugro Capital,UGROCAP,1000,195.68,0,195680,1000,MOTILAL,195.68,0,195680,0,0
130,Portfolio8,2,27-11-2018,Buy,Prakash Industries,PRAKASH,11000,89.68,0,986485,28446,MOTILAL,89.68,0,986485,0,0
131,Portfolio2,7,03-12-2018,Sell,National Aluminium,NATIONALUM,283,74.8198,0,21174,4017,Kotak,0,74.8198,0,21174,0
132,FakePortfolio,7,03-12-2018,Sell,National Aluminium,NATIONALUM,6474,74.8199,0,484384,91526,,0,74.8199,0,484384,0
133,Portfolio8,7,03-12-2018,Sell,National Aluminium,NATIONALUM,6607,74.82,0,494335.87,123393,MOTILAL,0,74.82,0,494335.87,0
134,FakePortfolio,7,04-12-2018,Buy,Ugro Capital,UGROCAP,50000,191.9627,0,9598135,54265,,191.9627,0,9598135,0,0
135,FakePortfolio,7,05-12-2018,Buy,Ugro Capital,UGROCAP,50000,187.4518,0,9372592,104265,,187.4518,0,9372592,0,0
136,FakePortfolio,7,11-12-2018,Buy,Ugro Capital,UGROCAP,49955,175.42,0,8763247.72,154220,,175.42,0,8763247.72,0,0
137,FakePortfolio,7,12-12-2018,Buy,Ugro Capital,UGROCAP,29949,176.9265,0,5298770.55,184169,,176.9265,0,5298770.55,0,0
138,FakePortfolio,7,13-12-2018,Buy,Ugro Capital,UGROCAP,14853,180.435,0,2680000.36,199022,,180.435,0,2680000.36,0,0
139,Portfolio8,2,03-01-2019,Buy,Prakash Industries,PRAKASH,15000,76.1193,0,1141789.5,43446,MOTILAL,76.1193,0,1141789.5,0,0
140,Portfolio8,1,21-01-2019,Buy,Maruti Suzuki,MARUTI,100,7195,0,719500,250,MOTILAL,7195,0,719500,0,0
141,Portfolio5,1,25-01-2019,Buy,Maruti Suzuki,MARUTI,200,6500.05,0,1300010,200,MOTILAL,6500.05,0,1300010,0,0
142,Portfolio8,2,04-02-2019,Buy,Granules India,GRANULES,11500,85.95,0,988412.68,11500,MOTILAL,85.95,0,988412.68,0,0
143,FakePortfolio,2,06-02-2019,Dividend Payout,IIFL Finance,IIFL,0,0,0,19500,3900,,0,0,0,0,19500
144,Portfolio8,2,06-02-2019,Dividend Payout,IIFL Finance,IIFL,0,0,0,30000,6000,,0,0,0,0,30000
145,Portfolio8,2,07-02-2019,Dividend Payout,Granules India,GRANULES,0,0,0,2875,11500,,0,0,0,0,2875
146,FakePortfolio,2,15-02-2019,Dividend Payout,Balkrishna Industries,BALKRISIND,0,0,0,2600,1300,,0,0,0,0,2600
147,Portfolio2,2,08-03-2019,Sell,RBL Bank,RBLBANK,500,633.5257,0,316762.86,500,Kotak,0,633.5257,0,316762.86,0
148,Portfolio2,7,11-03-2019,Dividend Payout,National Aluminium,NATIONALUM,0,0,0,18076.5,4017,,0,0,0,0,18076.5
149,FakePortfolio,7,11-03-2019,Dividend Payout,National Aluminium,NATIONALUM,0,0,0,411867,91526,,0,0,0,0,411867
150,Portfolio8,7,11-03-2019,Dividend Payout,National Aluminium,NATIONALUM,0,0,0,555268.5,123393,,0,0,0,0,555268.5
151,Portfolio8,2,14-03-2019,Buy,NIIT Limited,NIITLTD,20000,91.42,0,1828371.27,20000,MOTILAL,91.42,0,1828371.27,0,0
152,Portfolio8,2,15-03-2019,Buy,NIIT Limited,NIITLTD,5000,90.3757,0,451878.5,25000,MOTILAL,90.3757,0,451878.5,0,0
153,Portfolio8,2,18-03-2019,Buy,NIIT Limited,NIITLTD,5000,88.7072,0,443536,30000,MOTILAL,88.7072,0,443536,0,0
154,Portfolio8,2,18-03-2019,Buy,Uflex Limited,UFLEX,65,219.5077,0,14268,65,MOTILAL,219.5077,0,14268,0,0
155,Portfolio2,6,20-03-2019,Dividend Payout,Housing & Urban Development Corporation,HUDCO,0,0,0,8631.23,12787,,0,0,0,0,8631.23
156,FakePortfolio,1,20-03-2019,Dividend Payout,Ujjivan Financial Services,UJJIVAN,0,0,0,1700,2000,,0,0,0,0,1700
157,Portfolio8,1,20-03-2019,Buy,Whirlpool of India,WHIRLPOOL,400,1566.12,0,626448,400,MOTILAL,1566.12,0,626448,0,0
158,Portfolio8,2,22-03-2019,Buy,Uflex Limited,UFLEX,1000,219.0086,0,219008.59,1065,MOTILAL,219.0086,0,219008.59,0,0
159,Portfolio8,1,22-03-2019,Buy,Ujjivan Financial Services,UJJIVAN,2000,329.2639,0,658527.76,2000,MOTILAL,329.2639,0,658527.76,0,0
160,Portfolio8,1,22-03-2019,Buy,Whirlpool of India,WHIRLPOOL,1100,1550.9574,0,1706053.12,1500,MOTILAL,1550.9574,0,1706053.12,0,0
161,Portfolio8,2,25-03-2019,Buy,Jindal Saw,JINDALSAW,5000,85.2,0,426000,18065,MOTILAL,85.2,0,426000,0,0
162,Portfolio8,2,25-03-2019,Buy,Uflex Limited,UFLEX,1200,212.49,0,254988,2265,MOTILAL,212.49,0,254988,0,0
163,Portfolio8,1,25-03-2019,Buy,Avenue Supermarts,DMART,300,1468.41,0,440523,300,MOTILAL,1468.41,0,440523,0,0
164,Portfolio8,1,25-03-2019,Buy,Ujjivan Financial Services,UJJIVAN,1500,320.71,0,481065,3500,MOTILAL,320.71,0,481065,0,0
165,Portfolio8,1,25-03-2019,Buy,Whirlpool of India,WHIRLPOOL,90,1503.49,0,135314.1,1590,MOTILAL,1503.49,0,135314.1,0,0
166,Portfolio2,2,26-03-2019,Buy,Jupiter Wagons,JUPITER,10000,20.0464,0,200464.08,10000,Kotak,20.0464,0,200464.08,0,0
167,Portfolio8,2,26-03-2019,Buy,PNC Infratech,PNCINFRA,3000,153.25,0,459750,3000,MOTILAL,153.25,0,459750,0,0
168,Portfolio8,1,26-03-2019,Buy,Whirlpool of India,WHIRLPOOL,22,1503.45,0,33075.9,1612,MOTILAL,1503.45,0,33075.9,0,0
169,Portfolio8,2,27-03-2019,Sell,Granules India,GRANULES,2500,111.74,0,279350,9000,,0,111.74,0,279350,0
170,Portfolio8,2,27-03-2019,Buy,KEC International,KEC,2000,297.6818,0,595363.66,2000,MOTILAL,297.6818,0,595363.66,0,0
171,Portfolio8,2,27-03-2019,Buy,PNC Infratech,PNCINFRA,3000,150.3481,0,451044.31,6000,MOTILAL,150.3481,0,451044.31,0,0
172,Portfolio8,2,27-03-2019,Buy,Uflex Limited,UFLEX,150,210.48,0,31572,2415,MOTILAL,210.48,0,31572,0,0
173,Portfolio8,2,28-03-2019,Buy,PNC Infratech,PNCINFRA,6500,147.34,0,957739.06,12500,MOTILAL,147.34,0,957739.06,0,0
174,Portfolio8,1,28-03-2019,Buy,Whirlpool of India,WHIRLPOOL,150,1503.4844,0,225522.65,1762,MOTILAL,1503.4844,0,225522.65,0,0
175,Portfolio2,2,29-03-2019,Buy,Jupiter Wagons,JUPITER,10000,20.0464,0,200464.08,20000,Kotak,20.0464,0,200464.08,0,0
176,Portfolio8,2,01-04-2019,Buy,NIIT Limited,NIITLTD,9057,89.48,0,810424.65,39057,MOTILAL,89.48,0,810424.65,0,0
177,Portfolio8,1,02-04-2019,Buy,Ujjivan Financial Services,UJJIVAN,1000,331.096,0,331096,4500,MOTILAL,331.096,0,331096,0,0
178,Portfolio8,1,02-04-2019,Buy,Whirlpool of India,WHIRLPOOL,30,1503.4844,0,45104.53,1792,MOTILAL,1503.4844,0,45104.53,0,0
179,Portfolio8,2,03-04-2019,Buy,Granules India,GRANULES,4000,111.11,0,444440,13000,MOTILAL,111.11,0,444440,0,0
180,Portfolio8,1,03-04-2019,Buy,Ujjivan Financial Services,UJJIVAN,1000,329.76,0,329760,5500,MOTILAL,329.76,0,329760,0,0
181,Portfolio8,1,03-04-2019,Buy,Whirlpool of India,WHIRLPOOL,150,1503.4844,0,225522.65,1942,MOTILAL,1503.4844,0,225522.65,0,0
182,Portfolio8,2,04-04-2019,Buy,Granules India,GRANULES,2000,108.55,0,217100,15000,MOTILAL,108.55,0,217100,0,0
183,Portfolio8,2,04-04-2019,Buy,NIIT Limited,NIITLTD,2000,88.35,0,176700,41057,MOTILAL,88.35,0,176700,0,0
184,Portfolio8,1,04-04-2019,Buy,Avenue Supermarts,DMART,200,1451.3637,0,290272.73,500,MOTILAL,1451.3637,0,290272.73,0,0
185,Portfolio8,1,04-04-2019,Buy,Ujjivan Financial Services,UJJIVAN,4000,320.8016,0,1283206.54,9500,MOTILAL,320.8016,0,1283206.54,0,0
186,Portfolio2,2,09-04-2019,Buy,Jupiter Wagons,JUPITER,5000,19.46,0,97300,25000,Kotak,19.46,0,97300,0,0
187,Portfolio8,2,09-04-2019,Buy,Jindal Saw,JINDALSAW,5000,82.69,0,413450,23065,MOTILAL,82.69,0,413450,0,0
188,Portfolio8,2,09-04-2019,Buy,KEC International,KEC,4350,286.32,0,1245492,6350,MOTILAL,286.32,0,1245492,0,0
189,Portfolio8,2,09-04-2019,Sell,NIIT Limited,NIITLTD,10000,113.4006,0,1134006.14,31057,MOTILAL,0,113.4006,0,1134006.14,0
